/Users/kevinlappe/Documents/GitHub/Workspace Automation/scripts/photos/photos-export-albums-to-sheets.gs: line 30, col 10, Warning - 'onOpen' is defined but never used. (no-unused-vars)
/Users/kevinlappe/Documents/GitHub/Workspace Automation/scripts/photos/photos-export-albums-to-sheets.gs: line 44, col 10, Warning - 'exportPhotoAlbumsToSheets' is defined but never used. (no-unused-vars)
/Users/kevinlappe/Documents/GitHub/Workspace Automation/scripts/photos/photos-export-albums-to-sheets.gs: line 271, col 10, Warning - 'resetProcessedAlbums' is defined but never used. (no-unused-vars)
/Users/kevinlappe/Documents/GitHub/Workspace Automation/scripts/photos/photos-export-albums-to-sheets.gs: line 291, col 10, Warning - 'clearAlbumsCache' is defined but never used. (no-unused-vars)
/Users/kevinlappe/Documents/GitHub/Workspace Automation/scripts/photos/photos-export-albums-to-sheets.gs: line 459, col 25, Error - Unnecessary escape character: \[. (no-useless-escape)
/Users/kevinlappe/Documents/GitHub/Workspace Automation/scripts/photos/photos-export-albums-to-sheets.gs: line 466, col 10, Warning - 'listAllAlbums' is defined but never used. (no-unused-vars)
/Users/kevinlappe/Documents/GitHub/Workspace Automation/scripts/photos/photos-export-albums-to-sheets.gs: line 516, col 10, Warning - 'addSelectedAlbumsToIndex' is defined but never used. (no-unused-vars)
/Users/kevinlappe/Documents/GitHub/Workspace Automation/scripts/photos/photos-export-albums-to-sheets.gs: line 531, col 12, Warning - 'albumName' is assigned a value but never used. (no-unused-vars)
/Users/kevinlappe/Documents/GitHub/Workspace Automation/scripts/photos/photos-export-albums-to-sheets.gs: line 531, col 32, Warning - 'photoCount' is assigned a value but never used. (no-unused-vars)

9 problems
